county_fips,state_name,county_name,mobility_score,ai_exposure
13207,Georgia,Monroe,0.39967525,-0.4730224
13209,Georgia,Montgomery,0.41024771,-0.1276687
13211,Georgia,Morgan,0.41912222,0.4852822
13213,Georgia,Murray,0.4458347,-0.9651425
13215,Georgia,Muscogee,0.37464368,0.818949
13217,Georgia,Newton,0.3916702,0.0637353
13219,Georgia,Oconee,0.43837875,0.842432
13221,Georgia,Oglethorpe,0.39481953,1.412268
13223,Georgia,Paulding,0.40700644,0.1352857
13225,Georgia,Peach,0.40814081,0.2111504
13227,Georgia,Pickens,0.46422088,-0.7470298
13229,Georgia,Pierce,0.4169386,-2.243658
13231,Georgia,Pike,0.43773219,0.2300992
13233,Georgia,Polk,0.42696175,1.14113
13235,Georgia,Pulaski,0.39556181,0.1338731
13237,Georgia,Putnam,0.39593339,-2.064798
13239,Georgia,Quitman,0.38332123,-3.617044
13241,Georgia,Rabun,0.42876354,0.4708848
13243,Georgia,Randolph,0.36031228,1.564582
13245,Georgia,Richmond,0.37251627,0.6453295
13247,Georgia,Rockdale,0.39262193,0.4485793
13249,Georgia,Schley,0.45961753,-3.617044
13251,Georgia,Screven,0.39431649,-0.8199877
13253,Georgia,Seminole,0.37738752,-0.2928144
13255,Georgia,Spalding,0.38867667,0.3448141
13257,Georgia,Stephens,0.42478532,1.894027
13259,Georgia,Stewart,0.3672176,3.579288
13261,Georgia,Sumter,0.3813515,0.3703775
13263,Georgia,Talbot,0.4157075,-4.120901
13265,Georgia,Taliaferro,0.39378005,-3.617044
13267,Georgia,Tattnall,0.3958987,1.405566
13269,Georgia,Taylor,0.39721578,3.128655
13271,Georgia,Telfair,0.40271983,2.21222
13273,Georgia,Terrell,0.36909753,-2.065477
13275,Georgia,Thomas,0.39005461,0.0790115
13277,Georgia,Tift,0.40132472,-0.666125
13279,Georgia,Toombs,0.41106707,0.4050978
13281,Georgia,Towns,0.48714837,-0.1254304
13283,Georgia,Treutlen,0.41147479,2.216651
13285,Georgia,Troup,0.40335411,-0.4514008
13287,Georgia,Turner,0.37942106,-0.2733313
13289,Georgia,Twiggs,0.38897216,3.07061
13291,Georgia,Union,0.47666907,1.881543
13293,Georgia,Upson,0.41461998,1.760488
